state_id,game_seed,kyoku_ordinal,chang,ju,honba,riichi_sticks,round_initial_scores,round_end_scores,next_oya,next_round_wind,next_honba,next_kyotaku,end_rank_seat0,end_rank_seat1,end_rank_seat2,end_rank_seat3,score_spread,stage_group
g20260819_ky02,20260819,2,0,2,0,0,"[22900, 24400, 22900, 29800]","[19000, 20500, 34600, 25900]",2,0,1,0,4,3,1,2,15600,middle
g20260834_ky02,20260834,2,0,2,0,0,"[15700, 30400, 30200, 23700]","[19700, 29400, 28200, 22700]",3,0,0,0,4,1,2,3,9700,middle
g20260813_ky01,20260813,1,0,1,0,0,"[27800, 23000, 27200, 22000]","[26800, 21000, 31200, 21000]",2,0,0,0,2,3,1,4,10200,early
g20260821_ky01,20260821,1,0,1,2,1,"[26500, 25500, 22500, 24500]","[26500, 25500, 31800, 16200]",2,0,0,0,2,3,1,4,15600,early
g20260828_ky01,20260828,1,0,1,0,0,"[28000, 24000, 28200, 19800]","[29300, 24000, 28200, 18500]",2,0,0,0,1,3,2,4,10800,early
g20260839_ky01,20260839,1,0,1,2,0,"[23500, 28800, 28500, 19200]","[23000, 28100, 27000, 21900]",2,0,0,0,3,1,2,4,6200,early
g20260841_ky00,20260841,0,0,0,2,0,"[44500, 8500, 23500, 23500]","[43500, 7500, 22500, 25500]",1,0,3,1,1,4,3,2,36000,early
g20260846_ky02,20260846,2,0,2,0,0,"[27000, 26600, 24000, 22400]","[25000, 34600, 20000, 20400]",3,0,0,0,2,1,4,3,14600,middle
g20260816_ky01,20260816,1,0,1,0,0,"[32700, 18900, 25000, 23400]","[40700, 14900, 23000, 21400]",2,0,0,0,1,4,2,3,25800,early
g20260829_ky01,20260829,1,0,1,1,1,"[23000, 26000, 28000, 22000]","[21500, 25200, 27500, 25800]",2,0,0,0,4,3,1,2,6000,early
g20260836_ky02,20260836,2,0,2,2,1,"[24000, 25000, 25000, 25000]","[19800, 20800, 38600, 20800]",2,0,3,0,4,2,1,3,18800,middle
g20260818_ky03,20260818,3,0,3,0,0,"[26000, 24500, 21200, 28300]","[22100, 20600, 17300, 40000]",3,0,1,0,2,3,4,1,22700,middle
g20260845_ky03,20260845,3,0,3,0,0,"[25000, 32000, 10000, 33000]","[24500, 31500, 12000, 32000]",0,1,0,0,3,2,4,1,20000,middle
g20260826_ky02,20260826,2,0,2,0,0,"[27300, 22400, 14400, 35900]","[29300, 22400, 12400, 35900]",3,0,0,0,2,3,4,1,23500,middle
g20260820_ky03,20260820,3,0,3,0,0,"[27500, 21500, 24500, 26500]","[25500, 30400, 22500, 21600]",0,1,0,0,2,1,3,4,8800,middle
g20260817_ky02,20260817,2,0,2,0,0,"[31500, 9300, 20900, 38300]","[33500, 8800, 19900, 37800]",3,0,0,0,2,4,3,1,29000,middle
g20260811_ky03,20260811,3,0,3,0,0,"[30500, 17500, 23000, 29000]","[24500, 11500, 16000, 48000]",3,0,1,0,2,4,3,1,36500,middle
g20260830_ky03,20260830,3,0,3,0,0,"[17700, 28400, 25200, 28700]","[14700, 26400, 34200, 24700]",0,1,0,0,4,2,1,3,19500,middle
g20260827_ky02,20260827,2,0,2,0,0,"[31000, 23000, 14300, 31700]","[31000, 24300, 14300, 30400]",3,0,0,0,1,3,4,2,16700,middle
g20260837_ky02,20260837,2,0,2,2,0,"[24000, 29800, 20200, 26000]","[32600, 29800, 20200, 17400]",3,0,0,0,1,2,3,4,15200,middle
g20260825_ky03,20260825,3,0,3,0,0,"[40800, 17700, 18600, 22900]","[40400, 17300, 20100, 22200]",0,1,0,0,1,4,3,2,23100,middle
g20260840_ky03,20260840,3,0,3,0,0,"[18500, 32500, 23700, 25300]","[19000, 31000, 24200, 23800]",0,1,1,2,4,1,2,3,12000,middle
g20260814_ky00,20260814,0,0,0,2,0,"[48200, 6000, 20800, 25000]","[49700, 4500, 22300, 23500]",0,0,3,0,1,4,3,2,45200,early
g20260842_ky01,20260842,1,0,1,0,0,"[38000, 29000, 12000, 21000]","[36500, 30500, 13500, 19500]",1,0,1,0,1,2,4,3,23000,early
